"Tscm_Candidate","CD8_Annotation","n_cells"
"Tscm","Naïve CD8 (innate-like)",262
"Tscm","Naïve CD8",52
"Tscm","Naïve-like TRDV1+ γδ",9
"Tscm","Naïve CD8 (post-ART)",3
"Tscm","Transitional Tem CD8",2
"Tscm","Effector CD8",1
"Tscm","KIR+ innate-like CD8",1
"Tscm","TRDV1+ γδ T cell",1
"Tscm","Vγ9Vδ2 γδ T cell",1
"Other","Naïve CD8",6954
"Other","Effector CD8",4734
"Other","Naïve CD8 (innate-like)",3664
"Other","Terminal TEMRA CD8",3039
"Other","TRDV1+ γδ T cell",2883
"Other","Naïve CD8 (post-ART)",1622
"Other","Transitional Tem CD8",1365
"Other","KIR+ innate-like CD8",749
"Other","Naïve-like TRDV1+ γδ",456
"Other","Vγ9Vδ2 γδ T cell",271
"Other","MAIT-like Trm",142
