"predicted.celltype.l2","cloneSize","n"
"B intermediate","Small (1 < X <= 5)",1
"B intermediate","Single (0 < X <= 1)",10
"B memory","Single (0 < X <= 1)",3
"B naive","Single (0 < X <= 1)",9
"CD14 Mono","Medium (5 < X <= 20)",1
"CD14 Mono","Single (0 < X <= 1)",4
"CD16 Mono","Large (20 < X <= 100)",1
"CD16 Mono","Single (0 < X <= 1)",1
"CD4 CTL","Medium (5 < X <= 20)",5
"CD4 CTL","Small (1 < X <= 5)",10
"CD4 CTL","Single (0 < X <= 1)",44
"CD4 Naive","Small (1 < X <= 5)",4
"CD4 Naive","Single (0 < X <= 1)",6958
"CD4 Proliferating","Medium (5 < X <= 20)",1
"CD4 Proliferating","Small (1 < X <= 5)",1
"CD4 Proliferating","Single (0 < X <= 1)",8
"CD4 TCM","Medium (5 < X <= 20)",2
"CD4 TCM","Small (1 < X <= 5)",193
"CD4 TCM","Single (0 < X <= 1)",15154
"CD4 TEM","Medium (5 < X <= 20)",1
"CD4 TEM","Small (1 < X <= 5)",26
"CD4 TEM","Single (0 < X <= 1)",198
"CD8 Naive","Hyperexpanded (100 < X <= 500)",109
"CD8 Naive","Large (20 < X <= 100)",20
"CD8 Naive","Medium (5 < X <= 20)",57
"CD8 Naive","Small (1 < X <= 5)",46
"CD8 Naive","Single (0 < X <= 1)",4092
"CD8 Proliferating","Hyperexpanded (100 < X <= 500)",7
"CD8 Proliferating","Large (20 < X <= 100)",3
"CD8 Proliferating","Medium (5 < X <= 20)",7
"CD8 Proliferating","Small (1 < X <= 5)",6
"CD8 Proliferating","Single (0 < X <= 1)",7
"CD8 TCM","Hyperexpanded (100 < X <= 500)",2
"CD8 TCM","Small (1 < X <= 5)",5
"CD8 TCM","Single (0 < X <= 1)",724
"CD8 TEM","Hyperexpanded (100 < X <= 500)",79
"CD8 TEM","Large (20 < X <= 100)",161
"CD8 TEM","Medium (5 < X <= 20)",488
"CD8 TEM","Small (1 < X <= 5)",783
"CD8 TEM","Single (0 < X <= 1)",1947
"ILC","Small (1 < X <= 5)",1
"ILC","Single (0 < X <= 1)",64
"MAIT","Small (1 < X <= 5)",11
"MAIT","Single (0 < X <= 1)",153
"NK","Large (20 < X <= 100)",2
"NK","Medium (5 < X <= 20)",8
"NK","Small (1 < X <= 5)",6
"NK","Single (0 < X <= 1)",15
"NK Proliferating","Hyperexpanded (100 < X <= 500)",1
"NK Proliferating","Medium (5 < X <= 20)",1
"NK Proliferating","Small (1 < X <= 5)",2
"NK Proliferating","Single (0 < X <= 1)",3
"Platelet","Hyperexpanded (100 < X <= 500)",1
"Platelet","Single (0 < X <= 1)",6
"Treg","Small (1 < X <= 5)",1
"Treg","Single (0 < X <= 1)",819
"cDC2","Single (0 < X <= 1)",1
"dnT","Hyperexpanded (100 < X <= 500)",1
"dnT","Small (1 < X <= 5)",2
"dnT","Single (0 < X <= 1)",189
"gdT","Small (1 < X <= 5)",1
"gdT","Single (0 < X <= 1)",79
"pDC","Single (0 < X <= 1)",1
